word,salary,value
Arbitrator,"76,840",high
Customs and Immigration Inspector,"76,730",high
Tank Commander,"76,320",high
Stem Cell Biologist,"76,000",high
TV Writer,"76,000",high
Credit Analyst,"75,970",high
Network Administrator,"75,790",high
Boxer,"75,760",high
Statistician,"75,560",high
Limnologist,"75,530",high
Microbiologist,"75,230",high
Biological Scientist,"75,160",high
Coast Guard,"75,000",high
Polygraph Examiner,"75,000",high
Roller Coaster Designer,"75,000",high
Surgical Assistant,"75,000",high
Talent Manager,"75,000",high
Geneticist,"74,504",high
Entrepreneur - Small Business,"74,460",high
Criminal Investigator,"74,300",high
Coder,"74,280",high
Computer Programmer,"74,280",high
Orthoptist,"73,400",high
Farrier,"73,108",high
Architect,"73,090",high
Epidemiologist,"73,000",high
Occupational Therapist,"73,000",high
Logistician,"72,780",high
Educational Psychologist,"72,710",high
Ship Captain,"72,000",high
Chemist,"71,770",high
Stockbroker,"71,720",high
Film Director,"71,350",high
Film Producer,"71,350",high
TV Commercial Director,"71,350",high
Band Manager,"71,340",high
Border Patrol Agent,"70,910",high
Railroad Safety Inspector,"70,820",high
Beekeeper,"70,110",high
Crop Farmer,"70,110",high
Linguist,"70,000",high
Pharmaceutical Rep,"70,000",high
Rugby Player,"70,000",high
Stunt Performer,"70,000",high
Audiologist,"69,720",high
Psychologist,"69,280",high
Art Therapist,"68,900",high
Delta Force,"68,300",high
Navy Seal,"68,300",high
Child Psychologist,"68,000",high
Energy Auditor,"67,280",high
Mechanical Engineer,"66,437",high
Fast Food Franchise Owner,"66,000",high
Ultrasound Technician,"65,840",high
Technical Writer,"65,500",high
Nurse,"65,470",high
Urban Planner,"65,230",high
Air Marshal,"65,000",high
Coroner,"65,000",high
Entrepreneur,"65,000",high
Loan Officer,"65,000",high
Speech Therapist,"65,000",high
Studio Musician,"65,000",high
Talent Agent,"64,490",high
Toy Designer,"64,180",high
Environmental Scientist,"63,570",high
Accountant,"63,550",high
Herpetologist,"63,000",high
Fashion Designer,"62,860",high
Web Designer,"62,500",high
Botanist,"62,400",high
Video Game Designer,"62,310",high
Home Care Nurse,"62,090",high
Dean of Students,"62,000",high
Life Coach,"62,000",high
Energy Broker,"61,960",high
Local Politician,"61,706",high
Computer Animator,"61,370",high
Conservationist,"61,100",high
High School College Counselor,"60,560",high
Secret Service Agent,"60,370",high
Recycling Plant Manager,"60,366",high
B&B Owner,"60,000",high
Biosystems Engineer,"60,000",high
Chiropractor,"60,000",high
Film Distribution Agent,"60,000",high
Literary Agent,"60,000",high
Market Research Analyst,"60,000",high
Paleontologist,"60,000",high
Professional Gamer,"60,000",high
Insurance Claims Adjuster,"59,850",high
IRS Auditor,"59,310",high
Restaurant Critic,"59,290",high
Cytogenetic Technologist,"59,000",high
Fashion Photographer,"59,000",high
Public Administrator,"59,000",high
Fire Investigator,"58,980",high
Farm Research Scientist,"58,610",high
Food Scientist,"58,610",high
Zoologist,"57,710",high
Cartographer,"57,440",high
Anthropologist,"57,420",high
Archaeologist,"57,420",high
Egyptologist,"57,420",high
Roadie,"57,000",high
Postal Worker,"56,490",high
Elementary teacher,"56,380",high
middle school teacher,"56,380",high
high school teacher,"56,380",high
Surveyor,"56,230",high
Commercial Bank Manager,"56,000",high
Film Critic,"56,000",high
Writer,"55,940",high
Historian,"55,870",high
Appraiser,"55,400",high
Librarian,"55,370",high
Police Officer,"55,270",high
Dietitian,"55,240",medium
Aircraft Mechanic,"55,230",medium
Country Club Manager,"55,000",medium
Piano Shop Owner,"55,000",medium
Special Education Teacher,"55,000",medium
Train Conductor,"55,000",medium
Water Polo Player,"55,000",medium
Public Relations,"54,170",medium
Sports Announcer,"54,020",medium
Green Grocer Manager,"54,000",medium
Millwright,"54,000",medium
Copy Editor,"53,880",medium
Editor,"53,880",medium
Sex Education Teacher,"53,430",medium
Game Warden,"53,260",medium
Caterer,"53,000",medium
Stenographer,"53,000",medium
Mortgage Broker,"52,981",medium
Archivist,"52,930",medium
Forensic Scientist,"52,840",medium
Advice Columnist,"52,810",medium
Property Manager,"52,610",medium
Emergency Management Specialist,"52,590",medium
Diplomat,"52,572",medium
Parole Officer,"52,280",medium
Caddie,"52,000",medium
Lighting Designer,"52,000",medium
Sound Editor,"52,000",medium
Blacksmith,"51,981",medium
Actor,"51,880",medium
Musical Theater Performer,"51,880",medium
Hotel Manager,"51,827",medium
Taxidermist,"51,390",medium
Cinematographer,"51,300",medium
Film Editor,"51,300",medium
Public Defender,"51,190",medium
Marine Biologist,"51,180",medium
Dental Hygienist,"51,000",medium
Ecologist,"50,520",medium
Corporate Relocation Specialist,"50,000",medium
Hotel Chain Owner,"50,000",medium
Telecommunications Technician,"50,000",medium
Umpire,"50,000",medium
Wrestler,"50,000",medium
Electrician,"49,840",medium
Foreign Missionary,"49,800",medium
Theatre Director,"49,690",medium
Curator,"49,590",medium
Jewelry Designer,"49,345",medium
Plumber,"49,140",medium
Magician,"49,000",medium
Pesticide Scientist,"49,000",medium
Music Producer,"48,900",medium
Pet Sitter,"48,640",medium
Event Promoter,"48,360",medium
Insurance Sales Agent,"48,150",medium
Air Tanker Pilot,"48,000",medium
Demolition Contractor,"48,000",medium
Interior Designer,"47,600",medium
Headhunter,"47,500",medium
Orchestra Conductor,"47,350",medium
Hair Designer,"47,210",medium
Makeup Designer,"47,210",medium
Chef,"47,000",medium
Paralegal,"46,990",medium
Production Sound Mixer,"46,870",medium
Funeral Director,"46,840",medium
Marriage and Family Therapist,"46,670",medium
Advertising Sales Representative,"46,290",medium
Sommelier,"46,260",medium
Exercise Physiologist,"46,020",medium
Auctioneer,"46,000",medium
Audio Engineer,"46,000",medium
Floriculturist,"46,000",medium
Commercial Diver,"45,890",medium
Hospice Worker,"45,760",medium
Private Detective,"45,740",medium
Fire Fighter,"45,250",medium
Embalmer,"45,060",medium
Antiques Dealer,"45,000",medium
Cartoonist,"45,000",medium
Dredge Operator,"45,000",medium
Music Teacher,"45,000",medium
Music Therapist,"45,000",medium
Nuclear Materials Courier,"45,000",medium
Pyrotechnician,"45,000",medium
Translator,"45,000",medium
Wind Farm Operator,"45,000",medium
Optician,"44,881",medium
Illustrator,"44,850",medium
Sketch Artist,"44,380",medium
Social Worker,"44,200",medium
Graphic Designer,"44,150",medium
Choreographer,"44,130",medium
Liquor Distributor,"44,000",medium
Priest,"43,950",medium
Sculptor,"43,890",medium
Foreign Language Teacher,"43,510",medium
Painter,"42,610",medium
Glazier,"42,500",medium
Car Sales Agent,"42,000",medium
Chauffeur,"42,000",medium
Grant Writer,"42,000",medium
Sales Worker Supervisor,"42,000",medium
Real Estate Broker,"41,990",medium
Grief Counselor,"41,500",medium
Consumer Safety Inspector,"41,000",medium
Machinist,"41,000",medium
Container Ship Sailor,"40,970",medium
Locksmith,"40,620",medium
Horticulturist,"40,470",medium
Cattle Rancher,"40,401",medium
Ballerina,"40,000",medium
Gemologist,"40,000",medium
Opera Singer,"40,000",medium
Rare Book Dealer,"40,000",medium
Carpenter,"39,940",medium
Athletic Coach,"39,590",medium
Musician or Singer,"39,550",low
Costume Designer,"39,540",low
Arborist,"39,000",low
Prison Guard,"38,970",low
College Admissions Officer,"38,570",low
Deejay,"38,200",low
Truck Driver,"38,200",low
Gun Store Owner,"38,000",low
Horologist,"38,000",low
Matchmaker,"38,000",low
TV Reporter,"37,674",low
Stonemason,"37,350",low
Flight Attendant,"37,240",low
Auto Mechanic,"37,000",low
Baggage Handler,"37,000",low
Bailiff,"37,000",low
Computer Repair Technician,"36,620",low
Welder,"36,395",low
Clown,"36,000",low
Massage Therapist,"35,970",low
Newspaper Reporter,"35,870",low
Roofer,"35,800",low
Journalist,"35,600",low
Adminstrative Assistant,"35,330",low
Bookkeeper,"35,170",low
Brewer,"35,000",low
Fish Hatchery Worker,"35,000",low
Poet,"35,000",low
Travel Agent,"34,600",low
Dental Assistant,"34,500",low
Animal Control Worker,"34,370",low
Endoscopy Technician,"34,078",low
Bus Driver,"34,000",low
Tractor Operator,"34,000",low
MMA Fighter,"34,000",low
Medical Transcriptionist,"34,000",low
Spa Manager,"34,000",low
Toll Booth Operator,"34,000",low
Yoga Instructor,"34,000",low
Park Ranger,"33,890",low
Rehabilitation Counselor,"33,880",low
Fisherman,"33,430",low
Upholsterer,"33,280",low
Sports Camera Operator,"33,130",low
Customer Service Rep,"33,000",low
Hunter,"33,000",low
Repo Man,"32,480",low
Wedding Planner,"32,000",low
Fitness Instructor,"31,720",low
Personal Trainer,"31,720",low
Photographer,"31,200",low
Potter,"31,000",low
Dancer,"30,720",low
Dolphin Trainer,"30,000",low
Furniture Salesman,"30,000",low
Gymnast,"30,000",low
Glass Blower,"29,790",low
Amusement Arcade Worker,"29,770",low
Phlebotomist,"29,730",low
Substitute Teacher,"29,600",low
Medical Assistant,"29,370",low
Pharmacy Technician,"29,000",low
Butcher,"28,660",low
Esthetician,"28,640",low
Furniture Maker,"28,440",low
Woodworker,"28,440",low
Daycare Worker,"28,377",low
Tailor,"28,000",low
Preschool Teacher,"27,130",low
Sanitation Worker,"27,000",low
Bartender,"26,000",low
Gardener,"26,000",low
Zookeeper,"26,000",low
Animal Trainer,"25,270",low
Beautician,"25,000",low
Cosmetologist,"25,000",low
Bike Messenger,"25,000",low
Mall Cop,"25,000",low
SCUBA Instructor,"25,000",low
Tea Plantation Owner,"25,000",low
Florist,"24,750",low
Orderly,"23,990",low
Security Guard,"23,970",low
Landscaper,"23,940",low
Tour Guide,"23,770",low
Baker,"23,140",low
Taxi Driver,"22,820",low
Janitor,"22,320",low
Barista,"22,000",low
Manicurist,"22,000",low
Swimming Instructor,"22,000",low
Bookie,"21,810",low
Bellboy,"21,000",low
Usher,"20,608",low
Lifeguard,"20,268",low
Vegas Dealer,"20,210",low
Nanny,"20,000",low
Figure Skater,"20,000",low
Jockey,"20,000",low
Mall Kiosk Worker,"20,000",low
Rock Star,"20,000",low
Stand-up Comedian,"20,000",low
Wildlife Rescuer,"20,000",low
Pet Groomer,"19,910",low
Housekeeper,"19,570",low
Cashier,"18,970",low
Waiter,"18,540",low
Greenskeeper,"18,000",low
Poker Player,"15,000",low
Mystery Shopper,"14,000",low
Crossword Puzzle Writer,"10,000",low
Mall Santa,"9,000",low
Cheerleader,"3,000",low
Camp Counselor,"1,880",low
Greeting Card Writer,"1,500",low
YouTube Personality,100,low
Nun,0,low
Monk,0,low
