word,salary,value
Taxidermist,"51,390",low
Cinematographer,"51,300",low
Film Editor,"51,300",low
Public Defender,"51,190",low
Marine Biologist,"51,180",low
Dental Hygienist,"51,000",low
Ecologist,"50,520",low
Corporate Relocation Specialist,"50,000",low
Hotel Chain Owner,"50,000",low
Telecommunications Technician,"50,000",low
Umpire,"50,000",low
Wrestler,"50,000",low
Electrician,"49,840",low
Foreign Missionary,"49,800",low
Theatre Director,"49,690",low
Curator,"49,590",low
Jewelry Designer,"49,345",low
Plumber,"49,140",low
Magician,"49,000",low
Pesticide Scientist,"49,000",low
Music Producer,"48,900",low
Pet Sitter,"48,640",low
Event Promoter,"48,360",low
Insurance Sales Agent,"48,150",low
Air Tanker Pilot,"48,000",low
Demolition Contractor,"48,000",low
Interior Designer,"47,600",low
Headhunter,"47,500",low
Orchestra Conductor,"47,350",low
Hair Designer,"47,210",low
Makeup Designer,"47,210",low
Chef,"47,000",low
Paralegal,"46,990",low
Production Sound Mixer,"46,870",low
Funeral Director,"46,840",low
Marriage and Family Therapist,"46,670",low
Advertising Sales Representative,"46,290",low
Sommelier,"46,260",low
Exercise Physiologist,"46,020",low
Auctioneer,"46,000",low
Audio Engineer,"46,000",low
Floriculturist,"46,000",low
Commercial Diver,"45,890",low
Hospice Worker,"45,760",low
Private Detective,"45,740",low
Fire Fighter,"45,250",low
Embalmer,"45,060",low
Antiques Dealer,"45,000",low
Cartoonist,"45,000",low
Dredge Operator,"45,000",low
Music Teacher,"45,000",low
Music Therapist,"45,000",low
Nuclear Materials Courier,"45,000",low
Pyrotechnician,"45,000",low
Translator,"45,000",low
Wind Farm Operator,"45,000",low
Optician,"44,881",low
Illustrator,"44,850",low
Sketch Artist,"44,380",low
Social Worker,"44,200",low
Graphic Designer,"44,150",low
Choreographer,"44,130",low
Liquor Distributor,"44,000",low
Priest,"43,950",low
Sculptor,"43,890",low
Foreign Language Teacher,"43,510",low
Painter,"42,610",low
Glazier,"42,500",low
Car Sales Agent,"42,000",low
Chauffeur,"42,000",low
Grant Writer,"42,000",low
Sales Worker Supervisor,"42,000",low
Real Estate Broker,"41,990",low
Grief Counselor,"41,500",low
Consumer Safety Inspector,"41,000",low
Machinist,"41,000",low
Container Ship Sailor,"40,970",low
Locksmith,"40,620",low
Horticulturist,"40,470",low
Cattle Rancher,"40,401",low
Ballerina,"40,000",low
Gemologist,"40,000",low
Opera Singer,"40,000",low
Rare Book Dealer,"40,000",low
Carpenter,"39,940",low
Athletic Coach,"39,590",low
Musician or Singer,"39,550",low
Costume Designer,"39,540",low
Arborist,"39,000",low
Prison Guard,"38,970",low
College Admissions Officer,"38,570",low
Deejay,"38,200",low
Truck Driver,"38,200",low
Gun Store Owner,"38,000",low
Horologist,"38,000",low
Matchmaker,"38,000",low
TV Reporter,"37,674",low
Stonemason,"37,350",low
Flight Attendant,"37,240",low
Auto Mechanic,"37,000",low
Baggage Handler,"37,000",low
Bailiff,"37,000",low
Computer Repair Technician,"36,620",low
Welder,"36,395",low
Clown,"36,000",low
Massage Therapist,"35,970",low
Newspaper Reporter,"35,870",low
Roofer,"35,800",low
Journalist,"35,600",low
Adminstrative Assistant,"35,330",low
Bookkeeper,"35,170",low
Brewer,"35,000",low
Fish Hatchery Worker,"35,000",low
Poet,"35,000",low
Travel Agent,"34,600",low
Dental Assistant,"34,500",low
Animal Control Worker,"34,370",low
Endoscopy Technician,"34,078",low
Bus Driver,"34,000",low
Tractor Operator,"34,000",low
MMA Fighter,"34,000",low
Medical Transcriptionist,"34,000",low
Spa Manager,"34,000",low
Toll Booth Operator,"34,000",low
Yoga Instructor,"34,000",low
Park Ranger,"33,890",low
Rehabilitation Counselor,"33,880",low
Fisherman,"33,430",low
Upholsterer,"33,280",low
Sports Camera Operator,"33,130",low
Customer Service Rep,"33,000",low
Hunter,"33,000",low
Repo Man,"32,480",low
Wedding Planner,"32,000",low
Fitness Instructor,"31,720",low
Personal Trainer,"31,720",low
Photographer,"31,200",low
Potter,"31,000",low
Dancer,"30,720",low
Dolphin Trainer,"30,000",low
Furniture Salesman,"30,000",low
Gymnast,"30,000",low
Glass Blower,"29,790",low
Amusement Arcade Worker,"29,770",low
Phlebotomist,"29,730",low
Substitute Teacher,"29,600",low
Medical Assistant,"29,370",low
Pharmacy Technician,"29,000",low
Butcher,"28,660",low
Esthetician,"28,640",low
Furniture Maker,"28,440",low
Woodworker,"28,440",low
Daycare Worker,"28,377",low
Tailor,"28,000",low
Preschool Teacher,"27,130",low
Sanitation Worker,"27,000",low
Bartender,"26,000",low
Gardener,"26,000",low
Zookeeper,"26,000",low
Animal Trainer,"25,270",low
Beautician,"25,000",low
Cosmetologist,"25,000",low
Bike Messenger,"25,000",low
Mall Cop,"25,000",low
SCUBA Instructor,"25,000",low
Tea Plantation Owner,"25,000",low
Florist,"24,750",low
Orderly,"23,990",low
Security Guard,"23,970",low
Landscaper,"23,940",low
Tour Guide,"23,770",low
Baker,"23,140",low
Taxi Driver,"22,820",low
Janitor,"22,320",low
Barista,"22,000",low
Manicurist,"22,000",low
Swimming Instructor,"22,000",low
Bookie,"21,810",low
Bellboy,"21,000",low
Usher,"20,608",low
Lifeguard,"20,268",low
Vegas Dealer,"20,210",low
Nanny,"20,000",low
Figure Skater,"20,000",low
Jockey,"20,000",low
Mall Kiosk Worker,"20,000",low
Rock Star,"20,000",low
Stand-up Comedian,"20,000",low
Wildlife Rescuer,"20,000",low
Pet Groomer,"19,910",low
Housekeeper,"19,570",low
Cashier,"18,970",low
Waiter,"18,540",low
Greenskeeper,"18,000",low
Poker Player,"15,000",low
Mystery Shopper,"14,000",low
Crossword Puzzle Writer,"10,000",low
Mall Santa,"9,000",low
Cheerleader,"3,000",low
Camp Counselor,"1,880",low
Greeting Card Writer,"1,500",low
YouTube Personality,100,low
Nun,0,low
Monk,0,low
