word,value,Descriptor
Wirehaired Pointing Griffon,dog,noun
American Eskimo,dog,noun
Australian Terrier,dog,noun
Basenji,dog,noun
Beagle,dog,noun
Bedlington Terrier,dog,noun
Bichon Frise,dog,noun
Border Terrier,dog,noun
Boston Terrier,dog,noun
Brussels Griffon,dog,noun
Cairn Terrier,dog,noun
Cardigan Welsh Corgi,dog,noun
Cavalier King Charles Spaniel,dog,noun
Coton de Tulear,dog,noun
Dachshund,dog,noun
Dandie Dinmont Terrier,dog,noun
English Toy Spaniel,dog,noun
Fox Terrier Smooth,dog,noun
Fox Terrier Wirehair,dog,noun
French Bulldog,dog,noun
German Pinscher,dog,noun
Glen Imaal Terrier,dog,noun
Lakeland Terrier,dog,noun
Manchester Terrier,dog,noun
Poodle Miniature,dog,noun
Pug,dog,noun
Puli,dog,noun
Schipperke,dog,noun
Scottish Terrier,dog,noun
Sealyham Terrier,dog,noun
Shetland Sheepdog,dog,noun
Shiba Inu,dog,noun
Shih Tzu,dog,noun
Silky Terrier,dog,noun
Skye Terrier,dog,noun
Tibetan Spaniel,dog,noun
Tibetan Terrier,dog,noun
Welsh Terrier,dog,noun
West Highland White Terrier,dog,noun
Whippet,dog,noun
Affenpinscher,dog,noun
Chihuahua,dog,noun
Chinese Crested,dog,noun
Italian Greyhound,dog,noun
Japanese Chin,dog,noun
Maltese,dog,noun
Manchester Terrier,dog,noun
Papillon,dog,noun
Pomeranian,dog,noun
Poodle Toy,dog,noun
Toy Fox Terrier,dog,noun
Yorkshire Terrier,dog,noun
Abyssinian,cat,noun
Aegean,cat,noun
American Bobtail,cat,noun
American Curl,cat,noun
American Ringtail,cat,noun
American Shorthair,cat,noun
American Wirehair,cat,noun
Aphrodite Giant,cat,noun
Arabian Mau,cat,noun
Asian,cat,noun
Asian Semi-longhair,cat,noun
Australian Mist,cat,noun
Balinese,cat,noun
Bambino,cat,noun
Bengal,cat,noun
Birman,cat,noun
Bombay,cat,noun
Brazilian Shorthair,cat,noun
British Longhair,cat,noun
British Shorthair,cat,noun
Burmese,cat,noun
Burmilla,cat,noun
California Spangled,cat,noun
Chantilly-Tiffany,cat,noun
Chartreux,cat,noun
Chausie,cat,noun
Colorpoint Shorthair,cat,noun
Cornish Rex,cat,noun
Cymric,cat,noun
Cyprus,cat,noun
Devon Rex,cat,noun
"Donskoy or
Don Sphynx",cat,noun
"Dragon Li or
Chinese Li Hua",cat,noun
Dwelf,cat,noun
Egyptian Mau,cat,noun
European Shorthair,cat,noun
Exotic Shorthair,cat,noun
Foldex,cat,noun
German Rex,cat,noun
Havana Brown,cat,noun
Highlander,cat,noun
Himalayan,cat,noun
Colorpoint Persian,cat,noun
Japanese Bobtail,cat,noun
Javanese,cat,noun
Kanaani,cat,noun
Khao Manee,cat,noun
Kinkalow,cat,noun
Korat,cat,noun
Korean Bobtail,cat,noun
Konja,cat,noun
Kurilian Bobtail,cat,noun
Lambkin,cat,noun
LaPerm,cat,noun
Lykoi,cat,noun
Maine Coon,cat,noun
Manx,cat,noun
Mekong Bobtail,cat,noun
Minskin,cat,noun
Minuet,cat,noun
Munchkin,cat,noun
Nebelung,cat,noun
Neva Masquerade,cat,noun
Norwegian Forest Cat,cat,noun
Ocicat,cat,noun
Ojos Azules,cat,noun
Oriental Bicolor,cat,noun
Oriental Longhair,cat,noun
Oriental Shorthair,cat,noun
Persian,cat,noun
Peterbald,cat,noun
Pixie-bob,cat,noun
Ragamuffin,cat,noun
Liebling,cat,noun
Ragdoll,cat,noun
Raas,cat,noun
Russian Blue,cat,noun
Russian Tabby,cat,noun
Sam Sawet,cat,noun
Savannah,cat,noun
Scottish Fold,cat,noun
Selkirk Rex,cat,noun
Serengeti,cat,noun
Siamese,cat,noun
Siberian Forest Cat,cat,noun
Singapura,cat,noun
Snowshoe,cat,noun
Sokoke,cat,noun
Somali,cat,noun
Sphynx,cat,noun
Suphalak,cat,noun
Thai,cat,noun
Tonkinese,cat,noun
Toybob,cat,noun
Toyger,cat,noun
Turkish Angora,cat,noun
Turkish Van,cat,noun
Turkish Vankedisi,cat,noun
Ukrainian Levkoy,cat,noun
York Chocolate,cat,noun
